tatripid,tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,origtatripno,dly,dyn,prdctdn,zone,psgld,stst,stsd
209606,20210911 12:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:30,4403CC,209606,False,0,DUE,,,45000,2021-09-11
209609,20210911 12:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:25,4411CC,209609,False,0,DUE,,,44700,2021-09-11
209613,20210911 12:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:20,4201BBL,209613,False,0,DUE,,,44400,2021-09-11
209616,20210911 12:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:15,4412CC,209616,False,0,DUE,,,44100,2021-09-11
209620,20210911 12:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:10,4403CC,209620,False,0,DUE,,,43800,2021-09-11
209623,20210911 12:04,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:05,4411CC,209623,False,0,DUE,,,43500,2021-09-11
209627,20210911 11:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:00,4201BBL,209627,False,0,DUE,,,43200,2021-09-11
209630,20210911 11:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:55,4412CC,209630,False,0,DUE,,,42900,2021-09-11
209634,20210911 11:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:50,4403CC,209634,False,0,DUE,,,42600,2021-09-11
209637,20210911 11:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:45,4411CC,209637,False,0,DUE,,,42300,2021-09-11
209641,20210911 11:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:40,4201BBL,209641,False,0,DUE,,,42000,2021-09-11
209645,20210911 11:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:30,4403CC,209645,False,0,DUE,,,41400,2021-09-11
209649,20210911 11:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:20,4201BBL,209649,False,0,DUE,,,40800,2021-09-11
209653,20210911 11:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:10,4403CC,209653,False,0,DUE,,,40200,2021-09-11
209657,20210911 10:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 11:00,4201BBL,209657,False,0,DUE,,,39600,2021-09-11
209661,20210911 10:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:50,4401CC,209661,False,0,DUE,,,39000,2021-09-11
209665,20210911 10:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:40,4201BBL,209665,False,0,DUE,,,38400,2021-09-11
209669,20210911 10:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:30,4401CC,209669,False,0,DUE,,,37800,2021-09-11
209673,20210911 10:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:20,4403CC,209673,False,0,DUE,,,37200,2021-09-11
209677,20210911 10:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:10,4402CC,209677,False,0,DUE,,,36600,2021-09-11
209681,20210911 09:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 10:00,4403CC,209681,False,0,DUE,,,36000,2021-09-11
209685,20210911 09:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 09:50,4402CC,209685,False,0,DUE,,,35400,2021-09-11
209689,20210911 09:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 09:40,4403CC,209689,False,0,DUE,,,34800,2021-09-11
209693,20210911 09:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 09:30,4402CC,209693,False,0,DUE,,,34200,2021-09-11
209697,20210911 09:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 09:20,4403CC,209697,False,0,DUE,,,33600,2021-09-11
209701,20210911 09:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 09:10,4402CC,209701,False,0,DUE,,,33000,2021-09-11
209705,20210911 08:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 09:00,4403CC,209705,False,0,DUE,,,32400,2021-09-11
209709,20210911 08:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 08:50,4402CC,209709,False,0,DUE,,,31800,2021-09-11
209713,20210911 08:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 08:40,4401CC,209713,False,0,DUE,,,31200,2021-09-11
209717,20210911 08:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 08:30,4402CC,209717,False,0,DUE,,,30600,2021-09-11
209721,20210911 08:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 08:20,4401CC,209721,False,0,DUE,,,30000,2021-09-11
209725,20210911 08:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 08:10,4402CC,209725,False,0,DUE,,,29400,2021-09-11
209729,20210911 07:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 08:00,4401CC,209729,False,0,DUE,,,28800,2021-09-11
210389,20210913 01:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 02:00,4408CC,210389,False,0,DUE,,,93600,2021-09-12
210391,20210913 01:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:53,4802OXM,210391,False,0,DUE,,,93180,2021-09-12
210393,20210913 01:46,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:47,4410CC,210393,False,0,DUE,,,92820,2021-09-12
210395,20210913 01:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:40,4408CC,210395,False,0,DUE,,,92400,2021-09-12
210397,20210913 01:32,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:33,4802OXM,210397,False,0,DUE,,,91980,2021-09-12
210399,20210913 01:26,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:27,4410CC,210399,False,0,DUE,,,91620,2021-09-12
210401,20210913 01:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:20,4408CC,210401,False,0,DUE,,,91200,2021-09-12
210403,20210913 01:12,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:13,4802OXM,210403,False,0,DUE,,,90780,2021-09-12
210405,20210913 01:06,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:07,4410CC,210405,False,0,DUE,,,90420,2021-09-12
210408,20210913 00:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 01:00,4409CC,210408,False,0,DUE,,,90000,2021-09-12
210410,20210913 00:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:53,4802OXM,210410,False,0,DUE,,,89580,2021-09-12
210413,20210913 00:46,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:47,4408CC,210413,False,0,DUE,,,89220,2021-09-12
210416,20210913 00:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:40,4409CC,210416,False,0,DUE,,,88800,2021-09-12
210418,20210913 00:32,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:33,4410CC,210418,False,0,DUE,,,88380,2021-09-12
210421,20210913 00:26,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:27,4408CC,210421,False,0,DUE,,,88020,2021-09-12
210424,20210913 00:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:20,4409CC,210424,False,0,DUE,,,87600,2021-09-12
210426,20210913 00:12,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:13,4802OXM,210426,False,0,DUE,,,87180,2021-09-12
210429,20210913 00:06,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:07,4408CC,210429,False,0,DUE,,,86820,2021-09-12
210433,20210912 23:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210913 00:00,4409CC,210433,False,0,DUE,,,86400,2021-09-12
210436,20210912 23:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:53,4802OXM,210436,False,0,DUE,,,85980,2021-09-12
210440,20210912 23:46,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:47,4410CC,210440,False,0,DUE,,,85620,2021-09-12
210444,20210912 23:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:40,4409CC,210444,False,0,DUE,,,85200,2021-09-12
210447,20210912 23:32,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:33,4802OXM,210447,False,0,DUE,,,84780,2021-09-12
210451,20210912 23:26,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:27,4410CC,210451,False,0,DUE,,,84420,2021-09-12
210455,20210912 23:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:20,4408CC,210455,False,0,DUE,,,84000,2021-09-12
210458,20210912 23:12,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:13,4802OXM,210458,False,0,DUE,,,83580,2021-09-12
210462,20210912 23:06,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:07,4410CC,210462,False,0,DUE,,,83220,2021-09-12
210466,20210912 22:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 23:00,4408CC,210466,False,0,DUE,,,82800,2021-09-12
210469,20210912 22:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:53,4409CC,210469,False,0,DUE,,,82380,2021-09-12
210473,20210912 22:46,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:47,4410CC,210473,False,0,DUE,,,82020,2021-09-12
210477,20210912 22:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:40,4408CC,210477,False,0,DUE,,,81600,2021-09-12
210480,20210912 22:32,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:33,4409CC,210480,False,0,DUE,,,81180,2021-09-12
210484,20210912 22:26,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:27,4802OXM,210484,False,0,DUE,,,80820,2021-09-12
210488,20210912 22:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:20,4408CC,210488,False,0,DUE,,,80400,2021-09-12
210491,20210912 22:12,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:13,4409CC,210491,False,0,DUE,,,79980,2021-09-12
210495,20210912 22:06,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:07,4802OXM,210495,False,0,DUE,,,79620,2021-09-12
210499,20210912 21:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 22:00,4410CC,210499,False,0,DUE,,,79200,2021-09-12
210502,20210912 21:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:53,4408CC,210502,False,0,DUE,,,78780,2021-09-12
210506,20210912 21:46,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:47,4802OXM,210506,False,0,DUE,,,78420,2021-09-12
210510,20210912 21:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:40,4410CC,210510,False,0,DUE,,,78000,2021-09-12
210513,20210912 21:32,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:33,4408CC,210513,False,0,DUE,,,77580,2021-09-12
210517,20210912 21:26,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:27,4409CC,210517,False,0,DUE,,,77220,2021-09-12
210521,20210912 21:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:20,4410CC,210521,False,0,DUE,,,76800,2021-09-12
210524,20210912 21:12,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:13,4408CC,210524,False,0,DUE,,,76380,2021-09-12
210528,20210912 21:06,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:07,4409CC,210528,False,0,DUE,,,76020,2021-09-12
210532,20210912 20:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 21:00,4802OXM,210532,False,0,DUE,,,75600,2021-09-12
210535,20210912 20:52,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:53,4408CC,210535,False,0,DUE,,,75180,2021-09-12
210539,20210912 20:46,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:47,4409CC,210539,False,0,DUE,,,74820,2021-09-12
210543,20210912 20:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:40,4802OXM,210543,False,0,DUE,,,74400,2021-09-12
210546,20210912 20:32,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:33,4408CC,210546,False,0,DUE,,,73980,2021-09-12
210550,20210912 20:26,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:27,4409CC,210550,False,0,DUE,,,73620,2021-09-12
210554,20210912 20:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:20,4802OXM,210554,False,0,DUE,,,73200,2021-09-12
210557,20210912 20:12,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:13,4408CC,210557,False,0,DUE,,,72780,2021-09-12
210561,20210912 20:06,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:07,4404CC,210561,False,0,DUE,,,72420,2021-09-12
210565,20210912 19:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 20:00,4802OXM,210565,False,0,DUE,,,72000,2021-09-12
210573,20210912 19:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 19:40,4802OXM,210573,False,0,DUE,,,70800,2021-09-12
210581,20210912 19:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 19:20,4404CC,210581,False,0,DUE,,,69600,2021-09-12
210589,20210912 18:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 19:00,4404CC,210589,False,0,DUE,,,68400,2021-09-12
210592,20210912 18:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:55,4412CC,210592,False,0,DUE,,,68100,2021-09-12
210596,20210912 18:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:50,4202BBL,210596,False,0,DUE,,,67800,2021-09-12
210599,20210912 18:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:45,4411CC,210599,False,0,DUE,,,67500,2021-09-12
210603,20210912 18:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:40,4404CC,210603,False,0,DUE,,,67200,2021-09-12
210606,20210912 18:34,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:35,4412CC,210606,False,0,DUE,,,66900,2021-09-12
210610,20210912 18:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:30,4202BBL,210610,False,0,DUE,,,66600,2021-09-12
210613,20210912 18:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:25,4411CC,210613,False,0,DUE,,,66300,2021-09-12
210617,20210912 18:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:20,4404CC,210617,False,0,DUE,,,66000,2021-09-12
210620,20210912 18:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:15,4412CC,210620,False,0,DUE,,,65700,2021-09-12
210624,20210912 18:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:10,4407CC,210624,False,0,DUE,,,65400,2021-09-12
210627,20210912 18:04,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:05,4411CC,210627,False,0,DUE,,,65100,2021-09-12
210631,20210912 17:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 18:00,4404CC,210631,False,0,DUE,,,64800,2021-09-12
210634,20210912 17:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 17:55,4412CC,210634,False,0,DUE,,,64500,2021-09-12
210638,20210912 17:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 17:50,4407CC,210638,False,0,DUE,,,64200,2021-09-12
210641,20210912 17:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 17:45,4411CC,210641,False,0,DUE,,,63900,2021-09-12
210649,20210912 17:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 17:30,4407CC,210649,False,0,DUE,,,63000,2021-09-12
210652,20210912 17:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 17:25,4411CC,210652,False,0,DUE,,,62700,2021-09-12
210659,20210912 17:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 17:15,4412CC,210659,False,0,DUE,,,62100,2021-09-12
210663,20210912 17:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 17:10,4407CC,210663,False,0,DUE,,,61800,2021-09-12
210670,20210912 16:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:55,4412CC,210670,False,0,DUE,,,60900,2021-09-12
210674,20210912 16:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:50,4407CC,210674,False,0,DUE,,,60600,2021-09-12
210677,20210912 16:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:45,4411CC,210677,False,0,DUE,,,60300,2021-09-12
210681,20210912 16:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:40,4406CC,210681,False,0,DUE,,,60000,2021-09-12
210684,20210912 16:34,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:35,4412CC,210684,False,0,DUE,,,59700,2021-09-12
210688,20210912 16:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:30,4407CC,210688,False,0,DUE,,,59400,2021-09-12
210691,20210912 16:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:25,4411CC,210691,False,0,DUE,,,59100,2021-09-12
210698,20210912 16:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:15,4412CC,210698,False,0,DUE,,,58500,2021-09-12
210702,20210912 16:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:10,4407CC,210702,False,0,DUE,,,58200,2021-09-12
210705,20210912 16:04,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 16:05,4411CC,210705,False,0,DUE,,,57900,2021-09-12
210712,20210912 15:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 15:55,4412CC,210712,False,0,DUE,,,57300,2021-09-12
210716,20210912 15:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 15:50,4406CC,210716,False,0,DUE,,,57000,2021-09-12
210719,20210912 15:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 15:45,4411CC,210719,False,0,DUE,,,56700,2021-09-12
210727,20210912 15:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 15:30,4406CC,210727,False,0,DUE,,,55800,2021-09-12
210730,20210912 15:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 15:25,4411CC,210730,False,0,DUE,,,55500,2021-09-12
210737,20210912 15:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 15:15,4412CC,210737,False,0,DUE,,,54900,2021-09-12
210748,20210912 14:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 14:55,4412CC,210748,False,0,DUE,,,53700,2021-09-12
210755,20210912 14:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 14:45,4411CC,210755,False,0,DUE,,,53100,2021-09-12
210762,20210912 14:34,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 14:35,4412CC,210762,False,0,DUE,,,52500,2021-09-12
210766,20210912 14:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 14:30,4404CC,210766,False,0,DUE,,,52200,2021-09-12
210769,20210912 14:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 14:25,4411CC,210769,False,0,DUE,,,51900,2021-09-12
210776,20210912 14:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 14:15,4412CC,210776,False,0,DUE,,,51300,2021-09-12
210780,20210912 14:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210912 14:10,4404CC,210780,False,0,DUE,,,51000,2021-09-12
